employee_id,full_name,company,country,city,department,job_family,job_title,job_level,manager_id,manager_name,employee_type,contract_type,shift_type,hire_date,exit_date,status,onboarding_completed,onboarding_completion_date,training_completed,safety_training_completed,last_training_date,performance_review_completed,engagement_score,absenteeism_days_ytd,overtime_hours_qtr,hr_system,automation_candidate,data_issue
OMN-00757,Evelin Tamm,AS Eesti Post,Estonia,Tallinn,Last-Mile Delivery,Operations,Senior Route Planner,Senior,OMN-00143,Jaan Koppel,Full-time,Permanent,Rotating,2024-07-19,,Active,Yes,2024-07-22,Yes,No,2026-06-16,Yes,66,1,22,SAP SuccessFactors,No,
OMN-00758,Kärt Kukk,AS Eesti Post,Estonia,Rakvere,Postal Services,Operations,Postal Service Specialist,Junior,OMN-00350,Martin Sepp,Full-time,Fixed-term,Standard office hours,2017-01-20,,Active,Yes,2017-02-18,,Yes,2019-11-30,Yes,61,1,10,SAP SuccessFactors,No,Missing training status
OMN-00759,Kristjan Kask,AS Eesti Post,Estonia,Rakvere,Last-Mile Delivery,Operations,Courier,Junior,OMN-00074,Kadri Mägi,Full-time,Permanent,Morning,2016-12-21,,Active,Yes,2017-01-10,Yes,No,2018-03-27,Yes,99,8,39,SAP SuccessFactors,No,
OMN-00760,Siim Kukk,AS Eesti Post,Estonia,Tallinn,Sorting Center Operations,Operations,Sorting Operator,Specialist,OMN-00012,Kärt Rebane,Full-time,Permanent,Night,2021-04-17,2026-04-18,Exited,Yes,2021-05-02,Yes,Yes,2026-03-03,Yes,69,0,24,SAP SuccessFactors,No,
OMN-00761,Kadri Tamm,AS Eesti Post,Estonia,Tallinn,Last-Mile Delivery,Operations,Courier,Specialist,OMN-00117,Tanel Koppel,Full-time,Permanent,Evening,2024-04-16,,Active,Yes,2024-05-19,Yes,Yes,2026-06-29,No,83,0,43,SAP SuccessFactors,No,
OMN-00762,Anu Mägi,AS Eesti Post,Estonia,Narva,Parcel Locker Network,Technical Operations,Parcel Locker Technician,Junior,OMN-01100,Evelin Saar,Full-time,Permanent,Rotating,2017-08-07,,Active,Yes,2017-09-14,Yes,No,2023-04-25,Yes,71,3,0,SAP SuccessFactors,No,
OMN-00763,Maarja Saar,AS Eesti Post,Estonia,Narva,Last-Mile Delivery,Operations,Delivery Coordinator,Specialist,OMN-01623,Maarja Kukk,Full-time,Fixed-term,Rotating,2016-05-27,,Active,Yes,2016-07-20,Yes,Yes,2022-05-06,Not eligible,87,14,22,SAP SuccessFactors,No,
OMN-00764,Maarja Ilves,AS Eesti Post,Estonia,Pärnu,Parcel Locker Network,Technical Operations,Field Service Coordinator,Specialist,OMN-01483,Evelin Sepp,Full-time,Permanent,Standard office hours,2018-05-04,,Active,Yes,2018-06-01,Yes,Yes,2025-11-06,No,90,1,14,SAP SuccessFactors,No,
OMN-00765,Jaan Kask,AS Eesti Post,Estonia,Pärnu,Sales & Partnerships,Commercial,Key Account Coordinator,Specialist,OMN-00683,Jaan Rebane,Full-time,Service contract,Standard office hours,2025-12-11,,Active,Yes,2025-12-22,Yes,Not required,2026-02-08,Yes,83,0,21,SAP SuccessFactors,Yes,
OMN-00766,Martin Kask,AS Eesti Post,Estonia,Tartu,Parcel Locker Network,Technical Operations,Department Manager,Manager,OMN-00530,Tanel Rebane,Full-time,Permanent,Rotating,2018-11-25,,Active,Yes,2018-12-26,Yes,Yes,2021-03-30,Yes,93,9,17,SAP SuccessFactors,No,
OMN-00767,Jaan Mägi,AS Eesti Post,Estonia,Tallinn,Postal Services,Operations,Postal Service Specialist,Specialist,OMN-01402,Siim Ilves,Full-time,Permanent,Weekend support,2026-02-19,,Active,Yes,2026-04-19,No,Yes,,Yes,91,4,18,SAP SuccessFactors,Yes,
OMN-00768,Mihkel Sepp,AS Eesti Post,Estonia,Rakvere,Parcel Locker Network,Technical Operations,Parcel Locker Operations Lead,Lead,OMN-00436,Kristjan Koppel,Seasonal,Permanent,Rotating,2014-08-09,,Active,Yes,2014-08-14,Yes,Yes,2018-08-17,Yes,62,3,10,SAP SuccessFactors,No,
OMN-00769,Tanel Mägi,AS Eesti Post,Estonia,Tartu,Postal Services,Operations,Postal Service Specialist,Junior,OMN-01248,Siim Saar,Full-time,Fixed-term,Standard office hours,2023-09-08,,Active,Yes,2023-10-24,Yes,Yes,2026-01-15,Yes,67,7,11,SAP SuccessFactors,No,
OMN-00770,Mihkel Koppel,AS Eesti Post,Estonia,Rakvere,Parcel Locker Network,Technical Operations,Parcel Locker Technician,Junior,OMN-00597,Triin Rebane,Seasonal,Fixed-term,Standard office hours,2025-11-27,2026-05-25,Exited,No,,Yes,Yes,2026-03-21,Yes,82,3,14,SAP SuccessFactors,No,
OMN-00771,Anu Mägi,AS Eesti Post,Estonia,Tartu,Customer Support,Support,Senior Customer Support Agent,Senior,OMN-01674,Laura Saar,Full-time,Permanent,Rotating,2022-06-04,,Active,Yes,2022-06-10,Yes,Not required,2023-09-17,No,61,0,5,SAP SuccessFactors,Yes,
OMN-00772,Laura Sepp,AS Eesti Post,Estonia,Tallinn,Parcel Locker Network,Technical Operations,Parcel Locker Technician,Specialist,OMN-00693,Kristjan Tamm,Part-time,Permanent,Standard office hours,2026-02-02,,Active,Yes,2026-03-11,Yes,Yes,2026-06-23,Yes,59,3,15,SAP SuccessFactors,Yes,
OMN-00773,Kadri Kask,AS Eesti Post,Estonia,Tartu,Last-Mile Delivery,Operations,Courier,Specialist,OMN-00143,Jaan Koppel,Full-time,Permanent,Rotating,2016-01-03,,Active,Yes,2016-01-16,Yes,Yes,2023-08-24,Yes,55,4,22,SAP SuccessFactors,Yes,
OMN-00774,Kristjan Kukk,AS Eesti Post,Unknown,Unknown,Parcel Locker Network,Technical Operations,Parcel Locker Technician,Junior,OMN-01720,Liis Kask,Part-time,Permanent,Standard office hours,2017-09-13,,Active,Yes,2017-11-05,No,Yes,,No,57,5,0,SAP SuccessFactors,No,Invalid country
OMN-00775,Evelin Saar,AS Eesti Post,Estonia,Narva,Customer Support,Support,Department Manager,Manager,OMN-02729,Anu Ilves,Full-time,Permanent,Standard office hours,2025-04-21,,Active,Yes,2025-05-30,Yes,Not required,2026-01-22,Yes,58,8,20,SAP SuccessFactors,Yes,
OMN-00776,Anu Ilves,AS Eesti Post,Estonia,Pärnu,Last-Mile Delivery,Operations,Courier,Specialist,OMN-00118,Kadri Mägi,Full-time,Permanent,Morning,2014-11-27,,Active,Yes,2015-01-09,No,Yes,,Yes,87,3,32,SAP SuccessFactors,No,
OMN-00777,Laura Kask,AS Eesti Post,Estonia,Pärnu,Last-Mile Delivery,Operations,Courier,Junior,OMN-00624,Jaan Rebane,Full-time,Permanent,Morning,2021-03-19,,Active,Yes,2021-03-24,Yes,Yes,2024-09-19,Yes,69,0,40,SAP SuccessFactors,No,
OMN-00778,Kadri Koppel,AS Eesti Post,Estonia,Rakvere,Postal Services,Operations,Postal Service Specialist,Specialist,OMN-00791,Mihkel Tamm,Full-time,Fixed-term,Weekend support,2018-02-22,,Active,Yes,2018-04-22,Yes,Yes,2024-05-17,No,70,1,3,SAP SuccessFactors,No,
OMN-00779,Laura Kask,AS Eesti Post,Estonia,Tartu,Last-Mile Delivery,Operations,Courier Team Lead,Lead,OMN-00463,Martin Mägi,Full-time,Permanent,Evening,2022-06-25,2022-05-07,Exited,Yes,2022-07-23,Yes,Yes,2025-12-13,Yes,87,0,10,SAP SuccessFactors,No,Hire date after exit date
OMN-00780,Triin Rebane,AS Eesti Post,Estonia,Tartu,Sorting Center Operations,Operations,Sorting Operator,Junior,OMN-01066,Martin Lepp,Full-time,Permanent,Morning,2016-12-05,,Active,Yes,2017-02-01,Yes,Yes,2017-05-21,No,94,1,32,SAP SuccessFactors,No,
OMN-00781,Anu Kask,AS Eesti Post,Estonia,Tartu,Customer Support,Support,Senior Customer Support Agent,Senior,OMN-00483,Martin Rebane,Full-time,Permanent,Weekend support,2022-04-12,,Active,Yes,2022-04-20,Yes,Not required,2024-11-29,Yes,71,7,0,SAP SuccessFactors,Yes,
OMN-00782,Mihkel Saar,AS Eesti Post,Estonia,Tartu,Data & Automation,Data & Automation,People Data Specialist,Specialist,OMN-01785,Maarja Lepp,Full-time,Permanent,Hybrid,2022-04-06,,Active,Yes,2022-04-17,Yes,Not required,2024-11-14,Yes,97,3,5,SAP SuccessFactors,Yes,
OMN-00783,Martin Kask,AS Eesti Post,Estonia,Pärnu,Parcel Locker Network,Technical Operations,Parcel Locker Technician,Junior,OMN-01365,Tanel Kukk,Full-time,Permanent,Rotating,2018-11-06,,Active,Yes,2018-12-04,Yes,Yes,2021-05-02,No,59,8,14,SAP SuccessFactors,No,
OMN-00784,Rasmus Kask,AS Eesti Post,Estonia,Tallinn,Customer Support,Support,Senior Support Quality Specialist,Senior,OMN-00775,Evelin Saar,Full-time,Permanent,Standard office hours,2019-05-30,,Active,Yes,2019-06-16,Yes,Not required,2019-11-06,No,58,12,3,SAP SuccessFactors,Yes,
OMN-00785,Kristjan Ilves,AS Eesti Post,Estonia,Narva,Postal Services,Operations,Post Office Clerk,Specialist,OMN-01477,Jaan Saar,Full-time,Permanent,Standard office hours,2025-03-25,,Active,Yes,2025-03-29,No,Yes,,Not eligible,,9,16,SAP SuccessFactors,Yes,
OMN-00786,Mihkel Rebane,AS Eesti Post,Estonia,Tartu,Last-Mile Delivery,Operations,Courier,Specialist,OMN-00620,Kadri Kask,Full-time,Permanent,Evening,2021-06-27,,Active,No,,Yes,Yes,2023-10-25,No,97,4,38,SAP SuccessFactors,No,
OMN-00787,Rasmus Saar,AS Eesti Post,Estonia,Pärnu,Last-Mile Delivery,Operations,Courier,Junior,OMN-00671,Tanel Koppel,Full-time,Permanent,Morning,2016-10-06,,Active,Yes,2016-10-30,Yes,Yes,2026-02-28,Yes,80,6,53,SAP SuccessFactors,Yes,
OMN-00788,Martin Ilves,AS Eesti Post,Estonia,Tallinn,Last-Mile Delivery,Operations,Courier,Specialist,OMN-00459,Mihkel Ilves,Full-time,Permanent,Rotating,2020-03-02,,Active,Yes,2020-04-07,Yes,Yes,2026-03-06,Yes,77,0,0,SAP SuccessFactors,No,
OMN-00789,Kadri Tamm,AS Eesti Post,Estonia,Narva,Postal Services,Operations,Postal Service Specialist,Junior,OMN-00791,Mihkel Tamm,Full-time,Permanent,Rotating,2025-08-25,,Active,Yes,2025-08-31,Yes,Yes,2026-05-18,No,79,5,5,SAP SuccessFactors,No,
OMN-00790,Kristjan Kukk,AS Eesti Post,Estonia,Narva,Last-Mile Delivery,Operations,Courier,Junior,OMN-01623,Maarja Kukk,Full-time,Permanent,Rotating,2018-10-10,,Active,Yes,2018-10-24,Yes,Yes,2023-08-31,Yes,85,0,32,SAP SuccessFactors,No,
OMN-00791,Mihkel Tamm,AS Eesti Post,Estonia,Pärnu,Postal Services,Operations,Department Manager,Manager,OMN-01173,Siim Mägi,Contractor,Permanent,Standard office hours,2016-08-06,,Active,Yes,2016-09-08,Yes,Yes,2026-04-10,Yes,87,4,9,SAP SuccessFactors,No,
OMN-00792,Evelin Kukk,AS Eesti Post,Estonia,Tallinn,Sorting Center Operations,Operations,Sorting Operator,Specialist,OMN-00985,Anu Mägi,Full-time,Fixed-term,Evening,2024-02-16,,Active,No,,Yes,Yes,2024-12-08,Yes,55,3,2,SAP SuccessFactors,No,
OMN-00793,Rasmus Rebane,AS Eesti Post,Estonia,Rakvere,International Logistics,Logistics,Customs Support Specialist,Specialist,OMN-00546,Evelin Lepp,Full-time,Fixed-term,Rotating,2022-06-07,,Active,Yes,2022-07-23,Yes,Not required,2026-03-27,No,59,6,3,SAP SuccessFactors,Yes,
OMN-00794,Evelin Lepp,AS Eesti Post,Estonia,Narva,Postal Services,Operations,Postal Service Specialist,Junior,OMN-00864,Rasmus Sepp,Full-time,Permanent,Rotating,2019-07-27,,Active,Yes,2019-09-22,Yes,Yes,2021-09-30,Not eligible,60,6,20,SAP SuccessFactors,No,
OMN-00795,Anu Lepp,AS Eesti Post,Estonia,Narva,Last-Mile Delivery,Operations,Courier,Junior,OMN-01173,Siim Mägi,Full-time,Service contract,Evening,2015-03-25,,Active,Yes,2015-05-24,Yes,Yes,2015-11-30,Yes,67,0,62,SAP SuccessFactors,No,
OMN-00796,Triin Kukk,AS Eesti Post,Estonia,Rakvere,Postal Services,Operations,Postal Service Specialist,Junior,OMN-00864,Rasmus Sepp,Full-time,Permanent,Standard office hours,2019-06-22,2021-12-13,Exited,Yes,2019-07-17,Yes,Yes,2024-01-16,No,63,8,2,SAP SuccessFactors,No,
OMN-00797,Rasmus Kukk,AS Eesti Post,Estonia,Narva,Last-Mile Delivery,Operations,Courier,Specialist,OMN-00992,Anu Mägi,Full-time,Permanent,Rotating,2026-03-19,,Active,Yes,2026-03-26,Yes,Yes,2026-04-15,Not eligible,,0,24,SAP SuccessFactors,No,
OMN-00798,Kadri Koppel,AS Eesti Post,Estonia,Tartu,Parcel Locker Network,Technical Operations,Parcel Locker Technician,Junior,OMN-01100,Evelin Saar,Seasonal,Permanent,Standard office hours,2021-01-13,,Active,Yes,2021-01-31,Yes,Yes,2024-04-30,No,86,2,24,SAP SuccessFactors,No,
OMN-00799,Maarja Tamm,AS Eesti Post,Estonia,Tartu,International Logistics,Logistics,International Logistics Specialist,Junior,OMN-00289,Kristjan Lepp,Full-time,Fixed-term,Standard office hours,2025-07-11,,Active,Yes,2025-08-31,Yes,Not required,2026-01-25,Yes,96,5,18,SAP SuccessFactors,Yes,
OMN-00800,Kristjan Rebane,AS Eesti Post,Estonia,Tallinn,International Logistics,Logistics,Senior International Logistics Specialist,Senior,OMN-00861,Kristjan Kask,Full-time,Permanent,Rotating,2025-11-02,,Active,Yes,2025-11-08,Yes,Not required,2026-02-26,Yes,94,0,5,SAP SuccessFactors,Yes,
OMN-00801,Maarja Kukk,AS Eesti Post,Estonia,Tartu,Finance,Finance,Accounting Specialist,Specialist,OMN-00612,Martin Mägi,Full-time,Fixed-term,Standard office hours,2018-12-12,,Active,Yes,2018-12-18,Yes,Not required,2023-12-25,No,80,1,0,SAP SuccessFactors,Yes,
OMN-00802,Mihkel Ilves,AS Eesti Post,Estonia,Narva,Sorting Center Operations,Operations,Sorting Operator,Specialist,OMN-01435,Jaan Mägi,Full-time,Permanent,Rotating,2022-08-16,2026-06-27,Exited,Yes,2022-09-22,Yes,Yes,2024-02-05,Yes,66,2,24,SAP SuccessFactors,Yes,
OMN-00803,Tanel Rebane,AS Eesti Post,Estonia,Tartu,HR & People Operations,People,HR Specialist,Specialist,OMN-01878,Evelin Rebane,Contractor,Permanent,Standard office hours,2016-06-09,,Exited,No,,No,Not required,,Yes,64,5,8,SAP SuccessFactors,Yes,Exit date missing for exited employee
OMN-00804,Evelin Kukk,AS Eesti Post,Estonia,Rakvere,Customer Support,Support,Customer Support Agent,Junior,OMN-00927,Anu Saar,Full-time,Service contract,Standard office hours,2016-12-20,,Active,Yes,2017-02-18,Yes,Not required,2024-06-16,Yes,91,13,14,SAP SuccessFactors,Yes,
OMN-00805,Kärt Koppel,AS Eesti Post,Estonia,Narva,IT & Product,Technology,Junior Software Engineer,Specialist,OMN-01233,Martin Ilves,Full-time,Service contract,Standard office hours,2014-12-19,2020-04-23,Exited,Yes,2014-12-28,Yes,Not required,2023-11-25,Yes,63,9,0,SAP SuccessFactors,No,
OMN-00806,Siim Sepp,AS Eesti Post,Estonia,Tallinn,Postal Services,Operations,Senior Postal Service Specialist,Senior,OMN-00864,Rasmus Sepp,Contractor,Permanent,Rotating,2016-01-26,,Active,Yes,2016-02-24,Yes,Yes,2017-12-28,Yes,85,5,0,SAP SuccessFactors,No,
OMN-00807,Martin Saar,AS Eesti Post,Estonia,Rakvere,Customer Support,Support,Senior Customer Support Agent,Senior,OMN-01488,Rasmus Koppel,Full-time,Permanent,Standard office hours,2025-07-23,,Active,Yes,2025-09-11,Yes,Not required,2025-08-03,Yes,88,3,0,SAP SuccessFactors,Yes,
OMN-00808,Mihkel Tamm,AS Eesti Post,Estonia,Narva,Parcel Locker Network,Technical Operations,Department Manager,Manager,OMN-02572,Mārtiņš Liepiņa,Full-time,Fixed-term,Standard office hours,2023-01-12,,Active,Yes,2023-03-04,Yes,Yes,2023-01-16,Yes,96,5,3,SAP SuccessFactors,No,
OMN-00809,Evelin Kukk,AS Eesti Post,Estonia,Narva,Sorting Center Operations,Operations,Sorting Operator,Junior,OMN-00131,Kadri Lepp,Full-time,Permanent,Morning,2014-05-02,,Active,Yes,2014-06-07,Yes,Yes,2018-03-29,Yes,74,0,2,SAP SuccessFactors,No,
OMN-00810,Martin Rebane,AS Eesti Post,Estonia,Pärnu,Finance,Finance,Accounting Specialist,Specialist,OMN-00530,Tanel Rebane,Full-time,Permanent,Standard office hours,2026-02-25,,Active,Yes,2026-03-21,Yes,Not required,2026-06-07,Yes,68,1,0,SAP SuccessFactors,Yes,
OMN-00811,Laura Mägi,AS Eesti Post,Estonia,Pärnu,Legal & Compliance,Legal & Compliance,Data Protection Coordinator,Specialist,OMN-01301,Siim Rebane,Full-time,Fixed-term,Hybrid,2016-11-30,,Active,Yes,2016-12-08,Yes,Not required,2020-02-04,Yes,86,0,11,SAP SuccessFactors,No,
OMN-00812,Martin Koppel,AS Eesti Post,Estonia,Tartu,Parcel Locker Network,Technical Operations,Network Operations Specialist,Specialist,OMN-00189,Maarja Koppel,Full-time,Permanent,Weekend support,2023-01-04,,Active,Yes,2023-01-31,No,Yes,,No,58,2,0,SAP SuccessFactors,No,
OMN-00813,Siim Lepp,AS Eesti Post,Estonia,Tartu,Postal Services,Operations,Universal Postal Service Coordinator,Specialist,OMN-01248,Siim Saar,Full-time,Permanent,Rotating,2023-10-16,,Active,Yes,2023-12-05,Yes,Yes,2023-11-24,No,97,0,6,SAP SuccessFactors,No,
OMN-00814,Mihkel Mägi,AS Eesti Post,Estonia,Tallinn,Postal Services,Operations,Postal Service Specialist,Junior,OMN-01248,Siim Saar,Contractor,Permanent,Standard office hours,2014-09-02,,Active,Yes,2014-09-07,Yes,Yes,2015-05-10,Yes,88,6,19,SAP SuccessFactors,No,
OMN-00815,Anu Ilves,AS Eesti Post,Estonia,Rakvere,Last-Mile Delivery,Operations,Courier,Junior,OMN-01291,Kadri Ilves,Full-time,Fixed-term,Evening,2022-11-03,,Active,Yes,2022-12-10,Yes,Yes,2026-01-25,No,68,5,13,SAP SuccessFactors,No,
OMN-00816,Liis Mägi,AS Eesti Post,Estonia,Narva,HR & People Operations,People,Team Lead,Lead,OMN-01053,Mihkel Kask,Contractor,Permanent,Hybrid,2015-10-15,,Active,Yes,2015-10-29,No,Not required,,No,64,6,7,SAP SuccessFactors,Yes,
OMN-00817,Tanel Koppel,AS Eesti Post,Estonia,Tartu,Finance,Finance,Finance Specialist,Junior,OMN-00612,Martin Mägi,Contractor,Service contract,Standard office hours,2022-04-20,,Active,Yes,2022-04-24,Yes,Not required,2025-12-02,Yes,78,8,4,SAP SuccessFactors,Yes,
OMN-00818,Kadri Mägi,AS Eesti Post,Estonia,Narva,Last-Mile Delivery,Operations,Courier,Junior,OMN-00874,Evelin Kukk,Full-time,Permanent,Morning,2019-11-14,,Active,Yes,2020-01-09,Yes,Yes,2021-02-19,No,64,8,28,SAP SuccessFactors,No,
OMN-00819,Kristjan Kukk,AS Eesti Post,Estonia,Tallinn,Postal Services,Operations,Postal Service Specialist,Junior,OMN-00791,Mihkel Tamm,Full-time,Permanent,Standard office hours,2018-09-18,,Active,Yes,2018-10-02,Yes,Yes,2022-10-26,Yes,80,0,10,SAP SuccessFactors,No,
OMN-00820,Maarja Lepp,AS Eesti Post,Estonia,Tallinn,Last-Mile Delivery,Operations,Delivery Coordinator,Specialist,OMN-00074,Kadri Mägi,Full-time,Fixed-term,Morning,2019-12-18,2021-11-06,Exited,Yes,2020-01-23,Yes,Yes,2021-04-30,Yes,89,10,32,SAP SuccessFactors,Yes,
OMN-00821,Martin Koppel,AS Eesti Post,Estonia,Tartu,Sorting Center Operations,Operations,Sorting Operator,Junior,OMN-01376,Maarja Mägi,Full-time,Permanent,Rotating,2025-10-25,,Active,Yes,2025-12-16,Yes,No,2026-02-11,Yes,91,0,20,SAP SuccessFactors,No,
OMN-00822,Liis Ilves,AS Eesti Post,Estonia,Tartu,Sorting Center Operations,Operations,Sorting Operator,Junior,OMN-00147,Kristjan Koppel,Seasonal,Fixed-term,Morning,2021-07-30,,Active,Yes,2021-08-25,Yes,Yes,2026-01-16,No,93,2,42,SAP SuccessFactors,No,
OMN-00823,Kadri Rebane,AS Eesti Post,Estonia,Tallinn,Postal Services,Operations,Postal Service Specialist,Junior,OMN-00854,Laura Rebane,Seasonal,Permanent,Standard office hours,2021-06-15,,Active,Yes,2021-07-25,Yes,Yes,2025-01-30,No,69,9,20,SAP SuccessFactors,No,
OMN-00824,Martin Tamm,AS Eesti Post,Estonia,Tallinn,International Logistics,Logistics,Senior Transit Operations Coordinator,Senior,OMN-00861,Kristjan Kask,Full-time,Permanent,Rotating,2021-04-08,,Active,Yes,2021-04-17,Yes,Not required,2022-11-10,Yes,87,1,2,SAP SuccessFactors,Yes,
OMN-00825,Siim Kask,AS Eesti Post,Estonia,Narva,Postal Services,Operations,Postal Service Specialist,Specialist,OMN-01248,Siim Saar,Full-time,Permanent,Weekend support,2023-06-28,,Active,Yes,2023-07-24,Yes,Yes,2026-05-18,Not eligible,77,1,27,SAP SuccessFactors,Yes,
OMN-00826,Kadri Saar,AS Eesti Post,Estonia,Rakvere,Last-Mile Delivery,Operations,Route Planner,Specialist,OMN-00463,Martin Mägi,Full-time,Permanent,Morning,2016-12-31,,Active,Yes,2017-01-08,Yes,Yes,2017-08-29,Yes,,6,29,SAP SuccessFactors,No,
OMN-00827,Maarja Koppel,AS Eesti Post,Estonia,Pärnu,Last-Mile Delivery,Operations,Delivery Coordinator,Specialist,OMN-00620,Kadri Kask,Full-time,Permanent,Night,2017-09-14,,Active,Yes,2017-10-16,Yes,Yes,2021-04-20,Yes,89,0,7,SAP SuccessFactors,No,
OMN-00828,Rasmus Saar,AS Eesti Post,Estonia,Tartu,IT & Product,Technology,Team Lead,,OMN-01053,Mihkel Kask,Part-time,Permanent,Standard office hours,2025-06-17,,Active,Yes,2025-06-26,Yes,Not required,2026-01-03,Yes,99,2,9,SAP SuccessFactors,No,Missing job level
OMN-00829,Kadri Kask,AS Eesti Post,Estonia,Narva,Last-Mile Delivery,Operations,Courier,Specialist,OMN-01291,Kadri Ilves,Full-time,Permanent,Rotating,2018-03-05,2022-02-25,Exited,Yes,2018-03-18,Yes,Yes,2019-04-21,No,96,4,16,SAP SuccessFactors,No,
OMN-00830,Tanel Kukk,AS Eesti Post,Estonia,Tartu,Postal Services,Operations,Postal Service Specialist,Junior,OMN-00350,Martin Sepp,Part-time,Permanent,Standard office hours,2019-06-27,,Active,Yes,2019-08-15,Yes,Yes,2024-09-04,No,68,6,14,SAP SuccessFactors,No,
OMN-00831,Rasmus Ilves,AS Eesti Post,Estonia,Pärnu,Last-Mile Delivery,Operations,Courier,Junior,OMN-00442,Jaan Sepp,Full-time,Fixed-term,Rotating,2016-08-12,,Active,Yes,2016-08-19,Yes,Yes,2018-06-06,Yes,92,0,26,SAP SuccessFactors,No,
OMN-00832,Rasmus Koppel,AS Eesti Post,Estonia,Tartu,Last-Mile Delivery,Operations,Delivery Coordinator,Specialist,OMN-01140,Maarja Rebane,Full-time,Fixed-term,Rotating,2025-08-22,,Active,,2025-10-14,Yes,Yes,2025-09-18,Yes,56,3,44,SAP SuccessFactors,No,Onboarding status missing
OMN-00833,Laura Lepp,AS Eesti Post,Estonia,Rakvere,Finance,Finance,Senior Accounting Specialist,Senior,OMN-00659,Martin Tamm,Full-time,Permanent,Hybrid,2023-11-01,,Active,Yes,2023-11-15,Yes,Not required,2024-06-30,Yes,57,6,0,SAP SuccessFactors,Yes,
OMN-00834,Maarja Mägi,AS Eesti Post,Estonia,Tartu,International Logistics,Logistics,Senior International Logistics Specialist,Senior,OMN-01475,Maarja Mägi,Full-time,Permanent,Rotating,2020-10-10,,Active,Yes,2020-11-11,Yes,Not required,2021-07-09,Yes,67,7,0,SAP SuccessFactors,Yes,
OMN-00835,Evelin Lepp,AS Eesti Post,Estonia,Tartu,HR & People Operations,People,Junior HR Specialist,Junior,OMN-00816,Liis Mägi,Full-time,Permanent,Standard office hours,2017-10-03,,Active,Yes,2017-11-05,Yes,Not required,2020-11-11,Yes,66,10,13,SAP SuccessFactors,Yes,
OMN-00836,Martin Lepp,AS Eesti Post,Estonia,Tallinn,HR & People Operations,People,People Operations Specialist,Specialist,OMN-00716,Rasmus Mägi,Seasonal,Permanent,Standard office hours,2025-03-18,,Active,Yes,2025-04-03,Yes,Not required,2025-06-06,Yes,98,7,5,SAP SuccessFactors,Yes,
OMN-00837,Rasmus Saar,AS Eesti Post,Estonia,Tallinn,Customer Support,Support,Customer Support Agent,Junior,OMN-01771,Mihkel Kukk,Full-time,Permanent,Standard office hours,2016-08-07,,Active,Yes,2016-09-07,Yes,Not required,2018-02-15,No,87,4,0,SAP SuccessFactors,Yes,
OMN-00838,Maarja Mägi,AS Eesti Post,Estonia,Tartu,Last-Mile Delivery,Operations,Route Planner,Specialist,OMN-01626,Kärt Koppel,Full-time,Permanent,Night,2018-04-26,,Active,Yes,2018-06-17,Yes,Yes,2024-02-27,Yes,72,4,28,SAP SuccessFactors,Yes,
OMN-00839,Liis Kukk,AS Eesti Post,Unknown,Unknown,Postal Services,Operations,Postal Service Specialist,Junior,OMN-01402,Siim Ilves,Full-time,Permanent,Rotating,2014-03-13,,Active,Yes,2014-03-28,Yes,Yes,2022-06-03,Not eligible,78,4,5,SAP SuccessFactors,No,Invalid country
OMN-00840,Rasmus Kukk,AS Eesti Post,Estonia,Rakvere,Parcel Locker Network,Technical Operations,Senior Parcel Locker Technician,Senior,OMN-01100,Evelin Saar,Full-time,Fixed-term,Rotating,2016-11-16,,Active,Yes,2016-12-01,Yes,Yes,2021-08-18,Not eligible,88,1,13,SAP SuccessFactors,No,
OMN-00841,Triin Sepp,AS Eesti Post,Estonia,Tallinn,Last-Mile Delivery,Operations,Courier,Junior,OMN-00098,Siim Koppel,Full-time,Permanent,Morning,2014-07-30,,Active,Yes,2014-08-19,Yes,Yes,2015-12-06,Yes,82,1,0,SAP SuccessFactors,No,
OMN-00842,Liis Sepp,AS Eesti Post,Estonia,Tartu,IT & Product,Technology,Junior Software Engineer,Junior,OMN-01621,Siim Lepp,Seasonal,Permanent,Standard office hours,2020-04-24,,Active,Yes,2020-06-22,Yes,Not required,2020-05-25,Yes,72,5,8,SAP SuccessFactors,Yes,
OMN-00843,Triin Ilves,AS Eesti Post,Estonia,Rakvere,Sorting Center Operations,Operations,Senior Shift Coordinator,Senior,OMN-00131,Kadri Lepp,Part-time,Permanent,Evening,2022-04-08,,Active,Yes,2022-04-29,Yes,Yes,2024-08-25,No,70,2,23,SAP SuccessFactors,No,
OMN-00844,Laura Tamm,AS Eesti Post,Estonia,Tallinn,Last-Mile Delivery,Operations,Courier,Specialist,OMN-00577,Kärt Saar,Full-time,Permanent,Morning,2016-08-28,,Active,Yes,2016-09-06,Yes,Yes,2021-09-11,Yes,59,0,23,SAP SuccessFactors,Yes,
OMN-00845,Jaan Saar,AS Eesti Post,Estonia,Pärnu,Last-Mile Delivery,Operations,Courier,Junior,OMN-01734,Anu Tamm,Contractor,Permanent,Evening,2017-04-28,,Active,Yes,2017-05-27,Yes,Yes,2022-05-27,Yes,99,4,29,SAP SuccessFactors,Yes,
OMN-00846,Jaan Mägi,AS Eesti Post,Estonia,Pärnu,IT & Product,Technology,Product Specialist,Specialist,OMN-00336,Martin Kukk,Full-time,Permanent,Standard office hours,2018-06-23,,Active,Yes,2018-07-30,Yes,Not required,2024-05-25,Yes,99,1,10,SAP SuccessFactors,Yes,
